Value stream,Linea Produccion,PN
JOINT REPAIR,L08 celda 1,72203897
JOINT REPAIR,L08 celda 1,72205127
JOINT REPAIR,L08 celda 1,72205128
JOINT REPAIR,L08 celda 1,72205129
JOINT REPAIR,L08 celda 1,72200146
JOINT REPAIR,L08 celda 1,72200149
JOINT REPAIR,L08 celda 1,72200150
JOINT REPAIR,L08 celda 1,72200151
JOINT REPAIR,L08 celda 1,72200152
JOINT REPAIR,L08 celda 1,72200154
JOINT REPAIR,L08 celda 1,72200155
JOINT REPAIR,L08 celda 1,72202980
JOINT REPAIR,L08 celda 1,72202981
JOINT REPAIR,L08 celda 1,72202982
